Sample	ic50
Control	172.77
Control	317
Control	744.72
Control	1408.51
Control	1533.47
Control	2114.27
Control	2132.65
Control	2158.11
Control	2373.36
Control	2509.12
Control	2832.92
Control	2924.07
Control	3360.02
Control	3543.16
Control	3658.39
Control	3853.83
Control	3972.93
Control	4253.36
Control	4262.21
Control	4650.75
Control	4667.38
Control	4693.76
Control	4816.05
Control	5152.77
Control	5473.21
Control	5578.43
Control	5706.51
Control	5825.04
Control	5853.21
Control	6088.07
Control	6152.5
Control	6159.3
Control	6316.96
Control	6611.22
Control	6690.08
Control	7219.5
Control	7260.95
Control	7285.42
Control	7377.76
Control	7438.43
Control	7563.41
Control	7842.16
Control	8141.49
Control	8166.01
Control	8228.36
Control	8269.87
Control	8333.91
Control	8388.37
Control	8491.29
Control	8726.84
Control	8795.95
Control	8804.23
Control	8836.68
Control	8910.22
Control	8949.64
Control	8974.75
Control	9093.61
Control	9095.09
Control	9299.58
Control	9327.8
Control	9460.33
Control	9519.48
Control	9724.46
Control	9763.05
Control	9810.8
Control	10050.83
Control	10105.79
Control	10129.77
Control	10326.41
Control	10364.92
Control	10367.73
Control	10773.23
Control	11020.82
Control	11068.26
Control	11100.64
Control	11286.3
Control	11354.64
Control	11463.65
Control	11530.82
Control	11568.69
Control	11677.59
Control	11816.77
Control	11864.94
Control	12081.53
Control	12179.05
Control	12183.93
Control	12192.36
Control	12200.15
Control	12492.83
Control	12543.89
Control	12559.24
Control	12615.08
Control	12620.54
Control	12661.16
Control	12728.73
Control	12846.76
Control	12936.16
Control	12976.39
Control	13244.49
Control	13257.54
Control	13268.87
Control	13541.25
Control	13560.46
Control	13620.89
Control	13687.07
Control	13717.02
Control	13969.24
Control	14191.21
Control	14208.72
Control	14266.79
Control	14274.83
Control	14278.69
Control	14354.59
Control	14467.17
Control	14484.71
Control	14554.15
Control	14558.24
Control	14604.94
Control	14637.53
Control	14820.64
Control	14930.73
Control	14975.38
Control	14983.48
Control	14985.59
Control	15025.53
Control	15243.32
Control	15243.32
Control	15243.32
Control	15262.63
Control	15323.85
Control	15508.16
Control	15545.63
Control	15628.25
Control	15631.3
Control	15657.71
Control	15707.94
Control	15766.17
Control	15960.63
Control	16008.37
Control	16021.7
Control	16029.52
Control	16094.33
Control	16204.94
Control	16226.17
Control	16437.69
Control	16477.04
Control	16665.12
Control	16713.69
Control	16798.9
Control	16811.27
Control	16859.54
Control	16884.73
Control	16921.31
Control	17050.69
Control	17218.66
Control	17242.34
Control	17242.34
Control	17468.61
Control	17497.93
Control	17503.24
Control	17584.28
Control	17596.46
Control	17616.47
Control	17634.39
Control	17667.82
Control	17678.33
Control	17767.3
Control	17843.98
Control	17885.54
Control	17885.54
Control	17916.73
Control	18006.89
Control	18007.09
Control	18146.54
Control	18175.43
Control	18175.43
Control	18212.24
Control	18306.29
Control	18316.98
Control	18390.06
Control	18513.84
Control	18645.51
Control	18674.18
Control	18750.71
Control	18845.29
Control	18852.83
Control	18871.81
Control	18871.81
Control	18887.33
Control	18928.87
Control	18973.16
Control	19143.9
Control	19453.77
Control	19530.75
Control	19567.33
Control	19600.18
Control	19777.41
Control	19835.28
Control	19876.74
Control	19878.46
Control	19910.32
Control	20087.54
Control	20146.74
Control	20248.14
Control	20440.52
Control	20633.4
Control	20679.67
Control	20679.67
Control	20688.62
Control	20748.24
Control	20920.92
Control	20992.35
Control	20992.35
Control	20992.35
Control	21015.06
Control	21042.38
Control	21047.62
Control	21079.29
Control	21127.47
Control	21339.52
Control	21358.7
Control	21373.48
Control	21409.36
Control	21410.74
Control	21507.56
Control	21570.72
Control	21595.01
Control	21643.2
Control	21655.61
Control	21661.24
Control	21687.27
Control	21914.42
Control	22074.34
Control	22143.7
Control	22180.88
Control	22505.05
Control	22555.02
Control	22654.81
Control	22683.5
Control	22784.61
Control	23017.28
Control	23056.9
Control	23082.61
Control	23176.21
Control	23188.75
Control	23233.45
Control	23277.74
Control	23450.4
Control	23455.98
Control	23640.69
Control	23746.06
Control	23829.2
Control	23941.09
Control	23990.89
Control	24016.59
Control	24026.47
Control	24081.12
Control	24085.03
Control	24085.03
Control	24156.01
Control	24161.51
Control	24202.06
Control	24299.67
Control	24308.88
Control	24402.69
Control	24433.33
Control	24509.07
Control	24547.54
Control	24582.36
Control	24615.1
Control	24671.36
Control	24712.77
Control	24723.73
Control	24879.65
Control	24897.42
Control	24906.31
Control	24910.35
Control	25032.46
Control	25073.68
Control	25076.38
Control	25142.68
Control	25166.09
Control	25214.06
Control	25230.7
Control	25391.45
Control	25530.02
Control	25601.67
Control	25617.74
Control	25658.52
Control	25667.12
Control	25688.8
Control	25707.15
Control	25753.91
Control	25765.9
Control	25808.31
Control	25964.32
Control	25998.9
Control	26044.78
Control	26066.78
Control	26069.32
Control	26080.89
Control	26245.06
Control	26264.11
Control	26365.17
Control	26439.16
Control	26576.83
Control	26692.38
Control	26730.24
Control	26751.66
Control	26752.23
Control	26857.53
Control	26927.94
Control	26998.82
Control	27009.93
Control	27078.98
Control	27089.25
Control	27109.17
Control	27309.07
Control	27331.25
Control	27348.11
Control	27408.25
Control	27413.59
Control	27455.13
Control	27503.6
Control	27509.84
Control	27578.39
Control	27598.99
Control	27628.57
Control	27638.73
Control	27785.66
Control	27816.03
Control	27860.32
Control	27964.2
Control	27981.45
Control	28080.33
Control	28101.91
Control	28153.04
Control	28190.83
Control	28218.9
Control	28323.21
Control	28631.94
Control	28722.23
Control	28746.17
Control	28795.05
Control	28798.8
Control	28893.36
Control	29057.31
Control	29128.46
Control	29143.28
Control	29145.48
Control	29149.9
Control	29180.2
Control	29215.26
Control	29252.89
Control	29272.54
Control	29418.26
Control	29455.22
Control	29480.4
Control	29531.15
Control	29537.23
Control	29538.51
Control	29599.62
Control	29637.42
Control	29694.25
Control	29767.91
Control	29823.04
Control	29823.04
Control	29823.04
Control	29866.63
Control	29877.94
Control	29994.88
Control	30047.5
Control	30072.53
Control	30095.33
Control	30152.7
Control	30158.88
Control	30178.8
Control	30244.5
Control	30355.63
Control	30419.09
Control	30489.62
Control	30508.08
Control	30540.13
Control	30596.36
Control	30605.63
