Sample	Bowtie2_No_Pre_processing	Bowtie2_with_Pre_processing	HiSat2_with_Pre_processing	Bowtie2T_with_Pre_processing
dT-4_S4_L001	92.41	95.21	86.5	20.35
dT-4_S4_L002	92.33	95.19	86.43	20.47
dT-4_S4_L003	92.27	95.19	86.59	20.4
dT-4_S4_L004	92.38	95.33	86.39	20.56
dT-5_S5_L001	93.04	95.27	86.37	20.15
dT-5_S5_L002	92.96	95.25	86.28	20.15
dT-5_S5_L003	92.91	95.22	86.38	20.16
dT-5_S5_L004	93.01	95.38	86.31	20.33
dT-6_S6_L001	93.05	95.26	86.18	19.82
dT-6_S6_L002	92.97	95.26	86.07	19.78
dT-6_S6_L003	92.93	95.24	86.24	19.79
dT-6_S6_L004	93.02	95.39	86.15	20.01
rRNA-7_S7_L001	92.68	92.9	84.49	21.79
rRNA-7_S7_L002	92.61	92.91	84.39	21.8
rRNA-7_S7_L003	92.55	92.87	84.51	21.75
rRNA-7_S7_L004	92.65	93.1	84.56	21.94
rRNA-8_S8_L001	92.62	92.91	84.46	21.52
rRNA-8_S8_L002	92.54	92.87	84.35	21.6
rRNA-8_S8_L003	92.5	92.87	84.46	21.54
rRNA-8_S8_L004	92.59	93.05	84.5	21.67
rRNA-9_S9_L001	93.4	92.98	84.36	21.31
rRNA-9_S9_L002	93.33	93	84.3	21.28
rRNA-9_S9_L003	93.29	92.95	84.35	21.31
rRNA-9_S9_L004	93.36	93.16	84.44	21.46
Total-1_S1_L001	96.71	97.66	90.86	32.19
Total-1_S1_L002	96.68	97.65	90.74	32.23
Total-1_S1_L003	96.65	97.64	90.78	32.23
Total-1_S1_L004	96.7	97.73	90.87	32.67
Total-2_S2_L001	0	0	0	0
Total-2_S2_L002	96.71	97.78	90.56	32.28
Total-2_S2_L003	96.69	97.76	90.66	32.25
Total-2_S2_L004	96.72	97.84	90.63	32.69
Total-3_S3_L001	96.31	97.66	90.92	32.23
Total-3_S3_L002	96.25	97.65	90.84	32.31
Total-3_S3_L003	96.24	97.63	90.92	32.28
Total-3_S3_L004	96.28	97.71	90.92	32.7
