Sample	Bowtie2_No_Pre_processing	Bowtie2_with_Pre_processing	HiSat2_with_Pre_processing	Bowtie2T_with_Pre_processing
dT-4_S4_L001	92.41	95.21	86.5	20.35
dT-4_S4_L002	92.33	95.19	86.43	20.47
dT-4_S4_L003	92.27	95.19	86.59	20.4
dT-4_S4_L004	92.38	95.33	86.39	20.56
dT-5_S5_L001	93.04	95.27	86.37	20.15
dT-5_S5_L002	92.96	95.25	86.28	20.15
dT-5_S5_L003	92.91	95.22	86.38	20.16
dT-5_S5_L004	93.01	95.38	86.31	20.33
dT-6_S6_L001	93.05	95.26	86.18	19.82
dT-6_S6_L002	92.97	95.26	86.07	19.78
dT-6_S6_L003	92.93	95.24	86.24	19.79
dT-6_S6_L004	93.02	95.39	86.15	20.01
Total-1_S1_L001	96.71	97.66	90.86	32.19
Total-1_S1_L002	96.68	97.65	90.74	32.23
Total-1_S1_L003	96.65	97.64	90.78	32.23
Total-1_S1_L004	96.7	97.73	90.87	32.67
Total-2_S2_L001	0	0	0	0
Total-2_S2_L002	96.71	97.78	90.56	32.28
Total-2_S2_L003	96.69	97.76	90.66	32.25
Total-2_S2_L004	96.72	97.84	90.63	32.69
Total-3_S3_L001	96.31	97.66	90.92	32.23
Total-3_S3_L002	96.25	97.65	90.84	32.31
Total-3_S3_L003	96.24	97.63	90.92	32.28
Total-3_S3_L004	96.28	97.71	90.92	32.7
