id	dT_4_S4_L001	dT_4_S4_L002	dT_4_S4_L003	dT_4_S4_L004	dT_5_S5_L001	dT_5_S5_L002	dT_5_S5_L003	dT_5_S5_L004	dT_6_S6_L001	dT_6_S6_L002	dT_6_S6_L003	dT_6_S6_L004	rRNA_7_S7_L001	rRNA_7_S7_L002	rRNA_7_S7_L003	rRNA_7_S7_L004	rRNA_8_S8_L001	rRNA_8_S8_L002	rRNA_8_S8_L003	rRNA_8_S8_L004	rRNA_9_S9_L001	rRNA_9_S9_L002	rRNA_9_S9_L003	rRNA_9_S9_L004	Total_1_S1_L001	Total_1_S1_L002	Total_1_S1_L003	Total_1_S1_L004	Total_2_S2_L001	Total_2_S2_L002	Total_2_S2_L003	Total_2_S2_L004	Total_3_S3_L001	Total_3_S3_L002	Total_3_S3_L003	Total_3_S3_L004
LOC108847132	76452	75974	73075	80879	74873	72342	76063	85158	86601	86167	89819	91465	80587	85215	84223	83033	78629	80475	87497	81997	122863	114562	119907	125165	134688	129831	127545	129034	0	126198	131196	134843	117772	124921	112536	118253
LOC108851840	1445	1350	1399	4113	2932	2316	2236	1948	5536	1776	1899	1777	1623	1922	1575	1710	1890	2030	1959	2084	5277	3818	2618	2580	3640	5641	3640	4346	0	5066	3145	3401	3488	3270	6889	6220
RadishC_r007	65	6	12	21	6	6	9	11	18	24	11	8	25	27	29	35	29	26	22	21	234	133	37	214	2520	1646	3113	2752	0	2094	3555	2634	817	799	974	2315
RadishC_r008	3	6	297	6	2	9	6	34	4	6	9	14	45	5	4	11	47	17	4	13	32	7	7	10	1347	455	1593	562	0	1856	892	1740	637	1055	841	813
RadishC_t004	77	64	61	74	75	90	93	100	79	86	103	118	106	85	114	114	92	113	148	109	166	141	130	142	276	300	315	295	0	267	264	218	240	207	234	197
RadishC_r002	6	15	4	11	11	9	10	2	5	12	7	8	9	2	5	2	7	11	5	6	16	20	7	22	226	572	229	916	0	323	288	582	322	263	176	897
RadishC_t022	30	18	29	34	29	31	29	32	40	34	29	34	36	44	33	47	32	23	36	37	41	39	42	58	160	191	215	223	0	183	182	165	157	172	166	151
RadishC_r001	6	0	4	2	2	3	6	2	2	1	5	43	6	7	6	1	4	2	6	8	21	7	12	14	169	141	275	275	0	172	125	564	102	219	148	236
C327_r03	58	67	57	80	56	56	58	69	74	65	73	95	62	38	85	59	81	52	74	75	83	103	99	91	47	71	67	40	0	70	30	43	51	51	48	29
RadishC_t021	23	28	24	14	23	21	31	24	29	16	31	37	44	38	40	30	32	33	41	33	67	44	59	61	126	128	134	136	0	114	121	125	102	121	123	114
LOC108827937	43	70	58	43	43	44	77	32	56	65	59	59	79	61	58	65	77	39	78	53	92	86	93	89	70	55	65	77	0	53	56	58	25	41	40	53
LOC108850151	38	46	37	56	58	35	51	47	67	63	70	58	28	25	33	22	31	30	21	17	44	47	46	66	93	73	79	95	0	113	99	101	92	105	87	100
RadishC_t012	18	16	16	18	33	37	32	37	28	34	24	31	37	37	37	26	33	57	49	36	46	41	59	53	131	95	140	136	0	107	100	106	101	92	113	79
LOC108844146	13	22	15	19	21	27	20	14	22	33	26	21	29	35	41	21	47	38	39	44	56	43	37	66	51	44	48	44	0	33	53	56	34	47	37	39
LOC108817100	24	18	19	23	27	26	24	26	36	27	25	40	29	24	21	33	30	26	30	26	46	38	43	26	64	44	54	50	0	47	38	47	58	40	58	42
RadishC_t001	17	11	18	11	10	19	14	16	19	22	14	20	17	11	39	27	33	34	25	21	22	14	24	30	61	79	64	50	0	73	63	70	54	46	57	52
LOC108827204	23	46	28	29	37	27	17	38	46	38	43	41	37	38	37	40	33	28	36	35	47	53	57	48	18	19	19	10	0	14	14	20	19	9	10	3
RadishC_t015	0	3	8	8	7	6	10	8	6	18	12	10	12	14	15	21	16	15	22	17	8	16	24	20	54	40	54	53	0	48	68	54	29	49	33	29
C327_r02	26	19	27	23	33	32	26	40	27	29	41	29	12	30	17	22	14	21	13	21	33	23	35	25	14	15	12	22	0	17	11	14	9	9	17	1
LOC108827938	26	24	27	39	12	18	34	14	18	23	22	27	26	21	19	10	28	40	34	29	31	33	39	34	8	9	4	8	0	9	7	9	10	4	10	11
LOC108827473	12	3	8	12	15	14	18	17	19	15	9	14	26	9	16	11	21	19	20	20	10	13	12	13	27	22	33	20	0	18	30	31	15	28	30	16
LOC108817741	3	4	3	4	5	7	7	12	7	6	9	8	16	15	13	5	18	8	9	20	10	22	16	13	19	29	34	30	0	18	23	21	18	25	13	11
LOC108823054	3	2	10	4	14	10	3	5	13	12	9	7	8	9	8	27	7	2	5	1	14	17	21	6	20	27	25	32	0	23	21	24	15	15	33	15
LOC108858588	1	1	0	0	0	1	2	0	1	2	1	0	2	3	3	1	1	3	4	1	5	7	7	9	46	23	37	37	0	46	45	41	38	34	20	21
RadishC_r006	2	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	12	0	7	49	0	0	24	0	20	6	10	264
LOC108861546	0	4	0	1	1	3	1	0	1	5	1	5	12	7	17	8	7	11	14	10	19	12	15	9	20	30	22	22	0	14	18	26	15	13	21	12
LOC108862941	14	7	17	13	15	12	13	5	8	7	3	11	11	23	14	16	14	12	9	14	11	5	19	11	3	5	6	8	0	12	9	7	4	6	5	5
LOC108843289	7	9	10	10	8	15	7	8	20	19	9	22	8	15	7	4	14	10	12	9	19	21	12	21	10	4	3	10	0	1	6	2	8	6	4	3
RadishC_t006	8	4	4	2	1	8	9	7	2	9	4	9	1	5	11	5	12	9	6	6	9	12	12	9	19	23	12	30	0	18	10	18	14	16	12	6
LOC108863279	3	2	9	3	6	8	12	6	3	3	7	13	15	21	24	16	16	15	23	21	12	20	16	16	7	5	5	2	0	4	4	5	6	4	4	5
LOC108835435	5	12	12	10	22	19	13	26	21	19	18	16	8	7	11	11	2	4	10	17	7	6	14	2	1	0	0	1	0	0	1	0	1	2	1	0
RadishC_t003	1	0	0	0	4	7	0	6	4	2	3	1	7	3	6	7	1	3	3	7	7	1	7	5	19	26	23	16	0	15	18	21	17	24	13	16
LOC108819151	3	10	6	16	6	14	6	4	7	6	6	8	4	5	6	16	4	14	13	6	12	7	20	14	2	5	2	1	0	2	4	0	5	3	8	7
LOC108845162	7	8	5	5	10	9	6	15	2	10	6	13	1	2	2	8	5	6	8	14	13	9	6	9	7	6	5	10	0	10	9	3	4	5	3	10
LOC108854706	10	10	11	5	2	7	2	3	3	2	4	1	2	9	10	17	7	5	4	4	6	4	7	6	4	6	15	11	0	11	2	11	10	9	12	12
LOC108825045	3	1	5	2	2	2	2	1	0	3	0	2	7	9	4	14	1	9	5	11	7	4	10	6	13	13	20	14	0	8	10	4	17	10	6	8
LOC108822722	2	2	3	5	9	8	17	14	12	8	3	2	14	4	2	8	21	9	20	10	11	12	19	15	0	0	0	0	0	0	0	0	0	0	0	0
RadishC_r005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	3	0	22	0	0	22	93	1	0	69	3
LOC108827775	2	1	0	1	0	2	1	2	1	2	5	1	5	4	7	7	11	3	8	3	15	11	3	8	10	1	14	15	0	4	6	6	11	9	10	11
LOC108852291	2	8	4	2	1	6	5	0	8	0	7	6	8	5	4	7	5	7	8	5	3	4	1	0	17	13	3	12	0	12	6	3	13	3	3	9
LOC108813075	5	2	4	6	2	2	0	0	5	1	1	0	3	8	2	1	2	1	5	5	3	5	2	2	21	15	11	10	0	10	7	12	12	11	12	9
LOC108821642	7	2	2	9	6	7	9	2	4	7	3	10	1	8	5	1	11	1	5	6	13	2	4	11	6	1	3	7	0	8	12	2	6	4	7	5
LOC108842011	2	2	1	2	0	2	2	2	2	5	3	5	5	5	8	12	2	1	7	4	3	2	4	8	5	9	14	13	0	15	10	10	2	5	10	7
LOC108858201	10	8	1	3	0	4	2	1	5	4	1	2	9	3	2	5	7	4	3	5	8	11	14	10	5	5	11	1	0	5	9	8	7	3	6	6
LOC108844356	1	1	2	2	3	4	4	4	4	5	7	2	3	1	2	1	12	7	5	8	3	6	6	3	16	5	12	5	0	9	9	8	7	5	5	10
RadishC_r004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	5	0	0	0	2	105	0	2	0	51	10
RadishC_t017	2	2	4	4	0	4	2	0	6	1	4	1	9	8	3	4	1	3	8	8	7	12	18	5	4	10	4	6	0	4	4	6	4	3	12	12
LOC108811807	4	3	4	1	1	0	4	2	2	2	1	7	1	8	8	4	6	2	4	1	10	5	8	10	5	4	11	16	0	2	0	8	11	12	6	11
LOC108834276	2	3	3	10	1	6	5	3	6	6	1	2	4	6	3	6	9	5	7	6	6	11	8	13	3	6	8	8	0	3	5	4	7	4	3	1
RadishC_t005	3	3	4	1	9	2	7	2	6	0	2	3	1	7	6	4	3	4	2	5	8	9	2	9	10	7	2	6	0	9	1	2	3	6	2	9
LOC108862983	1	1	1	1	0	1	1	3	4	4	6	6	4	5	6	2	5	1	4	4	7	2	6	2	7	4	4	13	0	10	3	4	5	4	12	14
LOC108847327	4	2	5	1	1	1	0	1	3	0	1	4	1	15	5	1	10	6	8	4	4	6	5	10	16	9	12	5	0	1	1	4	2	4	1	3
LOC108845161	2	3	4	5	5	1	5	2	1	4	7	1	2	1	5	5	3	5	8	2	4	3	5	9	13	8	6	7	0	1	0	5	5	5	6	4
LOC108828163	0	4	3	2	3	1	2	1	2	2	4	6	2	4	7	3	2	4	3	7	6	7	7	9	4	4	5	8	0	4	4	2	9	5	5	2
RadishC_t008	1	0	0	2	2	3	3	2	1	5	4	2	9	1	11	0	5	0	1	5	6	8	8	3	5	9	10	4	0	1	11	3	5	3	5	5
LOC108857983	0	0	0	1	1	1	0	0	0	1	2	1	1	1	0	1	1	0	0	0	0	1	2	4	4	18	3	12	0	17	11	22	9	15	4	9
LOC108853074	5	3	7	4	4	3	4	4	6	5	10	4	7	6	6	12	11	2	5	1	8	6	7	3	0	0	1	4	0	0	1	0	0	0	0	2
RadishC_t007	0	1	0	1	0	1	1	0	4	1	0	3	4	4	2	5	2	1	4	2	3	3	3	3	13	9	9	10	0	8	11	7	7	8	4	7
LOC108858038	4	2	5	3	7	0	2	0	2	2	3	2	4	6	9	4	3	2	6	3	9	6	10	4	5	2	2	1	0	1	5	5	1	6	3	3
LOC108819559	1	2	2	1	0	4	4	1	1	1	2	3	5	3	6	8	9	5	5	9	9	14	12	9	0	4	0	0	0	0	0	0	1	0	0	3
LOC108862001	3	9	0	6	4	11	6	10	3	9	9	13	3	1	0	1	0	1	1	0	1	2	0	2	1	2	2	1	0	2	4	1	1	0	6	5
LOC108805277	3	1	2	1	0	3	4	3	3	0	3	2	1	2	3	3	2	9	13	8	2	5	9	2	2	1	1	2	0	6	5	7	3	0	2	5
LOC108838228	6	3	9	7	5	0	3	3	4	7	6	1	2	9	4	2	3	7	2	2	7	7	6	8	0	0	3	0	0	0	0	0	0	1	0	0
LOC108812512	2	1	0	2	1	5	0	0	1	0	3	1	6	6	7	12	3	10	9	7	11	12	10	7	0	0	0	0	0	0	0	0	0	0	0	0
LOC108820097	0	1	0	0	1	5	3	0	5	4	1	2	6	7	1	7	4	2	0	4	7	10	12	2	2	5	2	2	0	6	6	2	5	1	1	0
LOC108805689	1	2	3	1	2	4	1	2	2	5	2	1	5	3	1	2	3	1	2	3	4	2	2	1	3	2	7	5	0	3	6	5	5	3	10	10
LOC108857310	0	1	4	0	1	2	1	2	5	0	2	1	1	1	0	4	2	3	1	3	7	4	4	0	7	6	6	8	0	4	4	6	6	6	5	7
LOC108841396	1	1	0	1	3	3	4	5	2	3	2	2	2	0	3	2	0	0	0	2	2	1	4	3	1	8	4	4	0	4	9	9	5	2	15	6
LOC108815919	2	1	4	4	1	1	0	1	0	0	0	4	4	1	1	1	0	1	2	1	4	0	5	2	11	6	8	7	0	13	2	7	1	6	5	4
LOC108855758	2	1	4	0	5	0	0	0	4	1	3	1	3	2	1	1	3	1	2	1	5	5	6	6	5	2	1	3	0	5	1	1	8	6	11	0
LOC108828120	0	2	0	4	0	4	0	1	0	0	0	3	4	2	1	3	5	4	7	6	6	7	5	5	4	2	1	3	0	3	1	9	1	2	0	1
RadishC_t018	0	1	0	0	1	2	0	2	4	1	2	2	3	0	3	2	2	3	2	4	2	2	0	1	4	4	5	4	0	4	5	9	7	2	9	4
LOC108827782	0	2	0	0	0	0	1	2	0	0	0	0	3	0	2	2	1	3	1	1	6	0	3	2	9	6	5	10	0	4	4	5	10	4	2	4
LOC108830565	3	1	0	2	3	1	1	2	6	0	6	7	2	8	1	1	0	2	1	2	0	3	3	4	2	1	1	5	0	7	1	5	3	1	3	4
RadishC_r003	0	1	0	0	0	1	1	1	1	1	2	0	0	2	1	0	0	0	1	0	0	0	0	1	4	6	8	7	0	3	4	11	8	4	5	19
LOC108858760	1	6	2	1	1	1	1	1	2	4	1	5	7	0	0	7	0	1	1	0	0	1	10	6	1	1	1	1	0	4	3	1	6	3	1	9
LOC108817759	1	0	0	0	0	1	1	0	0	0	0	0	0	2	1	7	1	0	1	1	1	2	2	2	2	9	6	11	0	2	4	8	7	7	4	3
LOC108830471	1	0	4	1	0	0	0	1	2	1	3	1	1	1	0	1	2	0	4	2	1	2	4	1	10	2	6	8	0	2	4	5	5	4	4	1
LOC108858637	1	0	1	3	0	1	1	0	1	1	6	1	0	0	1	1	1	2	0	1	1	1	4	2	8	5	4	6	0	5	6	6	1	2	3	8
LOC108845188	1	1	1	2	1	3	3	0	0	3	0	0	1	7	9	6	1	1	4	8	9	4	4	6	3	0	0	0	0	1	0	1	1	1	0	1
LOC108862683	1	3	1	1	2	3	3	1	2	3	4	3	1	1	1	1	1	1	4	0	1	5	3	2	2	2	5	4	0	7	7	1	3	2	2	0
LOC108861494	0	1	0	1	0	0	1	0	0	2	0	0	1	7	4	4	3	1	2	1	6	3	9	9	5	4	2	1	0	1	3	3	3	3	2	0
LOC108818831	2	3	0	1	4	1	2	1	0	8	5	4	3	0	0	3	2	4	6	3	4	1	0	1	1	2	4	5	0	1	4	3	2	0	0	0
LOC108842223	0	1	1	2	1	1	0	4	1	2	0	0	2	1	0	3	5	3	6	1	7	6	2	11	1	2	2	1	0	1	2	0	1	6	1	3
LOC108810578	0	0	1	2	1	5	2	2	1	0	1	1	1	0	1	1	1	1	0	0	1	6	4	0	5	5	0	1	0	5	5	2	6	6	8	4
LOC108862949	0	0	0	0	0	1	4	0	1	4	1	4	2	1	1	0	2	3	5	3	2	4	7	7	0	3	3	1	0	3	1	4	3	1	2	4
LOC108805781	7	2	2	0	0	2	0	1	2	2	2	4	1	6	0	3	5	12	3	6	6	6	0	2	0	1	0	0	0	0	0	1	0	0	0	0
LOC108827706	5	2	3	2	0	0	0	0	1	0	0	1	0	2	0	0	0	1	0	1	3	3	0	1	6	7	2	10	0	5	0	6	3	0	9	2
LOC108828140	0	2	1	0	1	1	5	1	1	2	6	5	1	3	1	1	0	1	2	1	1	1	3	2	2	3	5	9	0	2	2	2	1	2	0	5
RadishC_t014	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	3	4	2	3	0	3	0	3	6	2	8	5	2	0	9	6	6	2	3	1	3
LOC108807041	0	0	1	0	0	1	1	1	0	1	0	2	3	1	2	2	2	1	2	0	2	1	3	2	4	2	3	2	0	10	3	6	2	1	8	5
LOC108842754	3	1	0	0	1	3	2	2	0	1	0	3	2	3	2	1	3	2	3	6	3	6	5	9	0	1	4	0	0	1	1	2	0	0	3	1
LOC108826247	0	0	0	0	1	0	0	1	0	0	0	0	2	7	8	3	7	3	7	0	6	6	1	9	0	0	2	0	0	1	1	1	1	3	1	0
LOC108842376	2	2	1	3	3	1	2	3	1	1	0	3	0	0	2	4	3	0	1	1	1	4	5	1	2	3	6	4	0	1	2	1	2	3	1	2
LOC108852591	0	0	0	1	5	0	1	0	3	4	1	7	5	4	1	0	4	2	3	2	5	1	3	3	0	1	2	0	0	1	1	1	4	1	4	1
LOC108853980	0	1	2	3	1	1	0	0	6	1	5	6	0	0	0	3	5	3	3	1	4	1	7	1	4	2	2	2	0	1	1	1	1	1	1	0
LOC108861450	0	1	0	0	1	1	1	1	1	0	0	2	1	1	2	1	0	0	0	2	5	2	4	4	7	9	5	1	0	0	2	1	1	6	3	5
